nome_regione,Rt,data
Sardegna,0.84,2020-11-15
Sardegna,1.0,2020-11-08
Sardegna,1.24,2020-11-04
Sardegna,1.12,2020-10-24
Sicilia,1.27,2021-01-17
Sicilia,1.18,2021-01-10
Sicilia,1.03,2021-01-02
Sicilia,0.92,2020-12-26
Sicilia,0.8,2020-12-19
Sicilia,0.73,2020-12-13
Sicilia,0.72,2020-12-06
Sicilia,1.05,2020-11-22
Sicilia,1.13,2020-11-15
Sicilia,1.18,2020-11-08
Sicilia,1.4,2020-11-04
Sicilia,1.42,2020-10-24
Toscana,1.01,2021-01-17
Toscana,1.02,2021-01-10
Toscana,0.91,2021-01-02
Toscana,0.79,2020-12-26
Toscana,0.71,2020-12-19
Toscana,0.7,2020-12-13
Toscana,0.81,2020-12-06
Toscana,1.24,2020-11-22
Toscana,1.44,2020-11-15
Toscana,1.81,2020-11-08
Toscana,1.53,2020-11-04
Toscana,1.41,2020-10-24
Umbria,1.11,2021-01-17
Umbria,1.21,2021-01-10
Umbria,1.0,2021-01-02
Umbria,0.82,2020-12-26
Umbria,0.78,2020-12-19
Umbria,0.75,2020-12-13
Umbria,0.73,2020-12-06
Umbria,0.86,2020-11-22
Umbria,1.09,2020-11-15
Umbria,1.43,2020-11-08
Umbria,1.53,2020-11-04
Umbria,1.67,2020-10-24
ValledAosta,1.08,2021-01-17
ValledAosta,1.23,2021-01-10
ValledAosta,1.09,2021-01-02
ValledAosta,0.84,2020-12-26
ValledAosta,0.68,2020-12-19
ValledAosta,0.63,2020-12-13
ValledAosta,0.67,2020-12-06
ValledAosta,1.01,2020-11-22
ValledAosta,1.23,2020-11-15
ValledAosta,1.5,2020-11-08
ValledAosta,1.54,2020-11-04
ValledAosta,1.89,2020-10-24
Veneto,0.83,2021-01-17
Veneto,0.95,2021-01-10
Veneto,1.0,2021-01-02
Veneto,1.08,2020-12-26
Veneto,1.13,2020-12-19
Veneto,1.07,2020-12-13
Veneto,1.01,2020-12-06
Veneto,1.23,2020-11-22
Veneto,1.23,2020-11-15
Veneto,1.29,2020-11-08
Veneto,1.56,2020-11-04
Veneto,1.46,2020-10-24
Basilicata,0.83,2021-01-31
Calabria,0.85,2021-01-31
Campania,0.85,2021-01-31
Emilia-Romagna,0.84,2021-01-31
Friuli Venezia Giulia,0.96,2021-01-31
Lazio,0.82,2021-01-31
Liguria,0.96,2021-01-31
Lombardia,0.9,2021-01-31
Marche,0.96,2021-01-31
Molise,1.13,2021-01-31
Piemonte,0.82,2021-01-31
Puglia,0.94,2021-01-31
Sardegna,0.79,2021-01-31
Sicilia,0.78,2021-01-31
Toscana,1.02,2021-01-31
Umbria,1.16,2021-01-31
Valle d'Aosta,0.83,2021-01-31
Basilicata,0.99,2021-02-07
Calabria,0.84,2021-02-07
Campania,0.9,2021-02-07
Emilia-Romagna,0.95,2021-02-07
Friuli Venezia Giulia,0.98,2021-02-07
Lazio,0.94,2021-02-07
Liguria,1.06,2021-02-07
Lombardia,0.98,2021-02-07
Marche,0.95,2021-02-07
Molise,1.06,2021-02-07
Piemonte,0.9,2021-02-07
Puglia,1.03,2021-02-07
Sardegna,0.87,2021-02-07
Sicilia,0.71,2021-02-07
Toscana,1.12,2021-02-07
Umbria,1.24,2021-02-07
Valle d'Aosta,0.9,2021-02-07
Basilicata,1.15,2021-02-14
Calabria,0.84,2021-02-14
Campania,1.08,2021-02-14
Emilia-Romagna,1.05,2021-02-14
Friuli Venezia Giulia,0.87,2021-02-14
