data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-07-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    257 
2020-07-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    257 
2020-07-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    249 
2020-07-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    243 
2020-07-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    247 
2020-07-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    245 
2020-07-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    237 
2020-07-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    237 
2020-07-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    230 
2020-07-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    230 
2020-07-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    231 
2020-07-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    231 
2020-07-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    231 
2020-07-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    229 
2020-07-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    229 
2020-07-17T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    230 
2020-07-18T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    232 
2020-07-19T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    232 
2020-07-20T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    233 
2020-07-21T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    232 
2020-07-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    232 
2020-07-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    234 
2020-07-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    235 
2020-07-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    235 
2020-07-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    235 
2020-07-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    237 
2020-07-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    236 
2020-07-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    239 
2020-07-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    239 
2020-07-31T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    242 
2020-08-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    243 
2020-08-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    241 
2020-08-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    242 
2020-08-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    245 
2020-08-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    243 
2020-08-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    243 
2020-08-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    246 
2020-08-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    251 
2020-08-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    252 
2020-08-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    257 
2020-08-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    257 
2020-08-17T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    258 
2020-08-18T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    264 
2020-08-19T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    266 
2020-08-20T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    268 
2020-08-21T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    269 
2020-08-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    271 
2020-08-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    274 
2020-08-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    275 
2020-08-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    275 
2020-08-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    275 
2020-08-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    278 
2020-08-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    280 
2020-08-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    280 
2020-08-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    283 
2020-08-31T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    285 
2020-09-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    286 
2020-09-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    288 
2020-09-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    293 
2020-09-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    294 
2020-09-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    300 
2020-09-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    308 
2020-09-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    309 
2020-09-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    312 
2020-09-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    313 
2020-09-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    313 
2020-09-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    315 
