data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2020-08-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,1,6,92,98,1,1,1075,97,1159,111,1270,122362,120328,,,,,,,,,,
2020-08-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,1,6,92,98,0,0,1075,97,1159,111,1270,122601,120567,,,,,,,,,,
2020-08-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,6,1,7,92,99,1,2,1076,97,1159,113,1272,123468,121434,,,,,,,,,,
2020-08-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,6,1,7,94,101,2,2,1076,97,1159,115,1274,124526,122492,Il caso positivo di oggi rilevato dall'AO di Reggio Calabria appartiene allo sbarco di Rocella del 11/07,,,,,,,,,
2020-08-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,7,1,8,83,91,-10,2,1088,97,1159,117,1276,125393,123359,  Il caso positivo rilevato dal laboratorio dell'AO di Cosenza  è un turista proveniente dalla Campania .  Il caso positivo di oggi rilevato dall'AO di Reggio Calabria appartiene allo sbarco di Roccella del 11/07,,,,,,,,,
2020-08-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,7,1,8,89,97,6,7,1089,97,1159,124,1283,126434,124400,Sei dei sette casi confermati provengono da Fuori regione/Stato estero ,,,,,,,,,
2020-08-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,9,1,10,91,101,4,4,1089,97,1159,128,1287,127309,125275,,,,,,,,,,
2020-08-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,9,1,10,90,100,-1,0,1090,97,1159,128,1287,127863,125829,,,,,,,,,,
2020-08-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,92,101,1,2,1091,97,1159,130,1289,128190,126156,,,,,,,,,,
2020-08-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,103,112,11,11,1091,97,1159,141,1300,129136,127102,,,,,,,,,,
2020-08-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,101,110,-2,4,1097,97,1159,145,1304,130228,128194,,,,,,,,,,
2020-08-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,110,119,9,12,1100,97,1159,157,1316,131392,129359,,,,,,,,,,
2020-08-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,7,1,8,125,133,14,19,1105,97,1159,176,1335,132577,130543,,,,,,,,,,
2020-08-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,134,143,10,10,1105,97,1159,186,1345,134064,132030,,,,,,,,,,
2020-08-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,9,1,10,136,146,3,3,1105,97,1159,189,1348,135740,133706,,,,,,,,,,
2020-08-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,140,149,3,4,1106,97,1159,193,1352,136604,134570,,,,,,,,,,
2020-08-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,10,1,11,143,154,5,5,1106,97,1159,198,1357,138078,136044,,,,,,,,,,
2020-08-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,10,1,11,139,150,-4,10,1120,97,1159,208,1367,139594,137560,,,,,,,,,,
2020-08-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,11,1,12,139,151,1,10,1129,97,1159,218,1377,141046,139012,,,,,,,,,,
2020-08-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,11,1,12,141,153,2,2,1129,97,1159,220,1379,142386,140352,,,,,,,,,,
2020-08-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,11,1,12,146,158,5,11,1135,97,1159,231,1390,143728,141694,,,,,,,,,,
2020-08-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,11,1,12,154,166,8,8,1135,97,1159,239,1398,144912,142878,,,,,,,,,,
2020-08-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,13,1,14,153,167,1,2,1136,97,1159,241,1400,146186,144148,,,,,,,,,,
2020-08-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,14,1,15,155,170,3,8,1141,97,1159,249,1408,147644,145610,Degli otto positivi di oggi quattro sono del CARA di Crotone e uno è  un soggetto residente  fuori Regione ,,,,,,,,,
2020-08-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,14,0,14,159,173,3,8,1146,97,1159,257,1416,148868,146834,,,,,,,,,,
2020-08-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,14,0,14,165,179,6,6,1146,97,1159,263,1422,150472,148438,,,,,,,,,,
2020-08-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,14,0,14,175,189,10,10,1146,97,1159,273,1432,152010,149976,Dei cinque positivi di oggi dieci sono del CARA di Crotone.,,,,,,,,,
2020-08-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,17,0,17,181,198,9,11,1148,97,1159,284,1443,153540,151506,,,,,,,,,,
2020-08-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,17,0,17,215,232,34,34,1148,97,1159,318,1477,154919,152885,,,,,,,,,,
2020-08-31T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,21,0,21,224,245,13,14,1149,97,1159,332,1491,155845,153811,,,,,,,,,,
2020-09-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,22,0,22,244,266,21,22,1150,97,1159,354,1513,157402,155296,,,,,,,,,,
2020-09-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,21,0,21,269,290,24,32,1158,97,1159,386,1545,159174,157068,,,,,,,,,,
2020-09-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,20,1,21,273,294,4,13,1167,97,1159,399,1558,160804,158698,,,,,,,,,,
2020-09-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,19,1,20,293,313,19,19,1167,97,1159,418,1577,162488,160382,,,,,,,,,,
2020-09-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,20,0,20,305,325,12,19,1173,98,1159,437,1596,164442,162336,,,,,,,,,,
2020-09-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,25,0,25,324,349,24,27,1176,98,1159,464,1623,165950,163844,,,,,,,,,,
2020-09-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,1,30,325,355,6,17,1187,98,1159,481,1640,166570,164464,,,,,,,,,,
2020-09-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,1,30,326,356,1,8,1194,98,1159,489,1648,167738,165632,,,,,,,,,,
2020-09-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,27,2,29,333,362,6,19,1207,98,1159,508,1667,169216,167110,,,,,,,,,,
2020-09-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,28,3,31,339,370,8,8,1207,98,1159,516,1675,170611,168505,,,,,,,,,,
2020-09-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,28,3,31,339,370,0,8,1215,98,1159,524,1683,172180,170074,,,,,,,,,,
2020-09-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,28,3,31,357,388,18,18,1215,98,1159,542,1701,173710,171604,,,,,,,,,,
2020-09-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,3,32,363,395,7,14,1222,98,1159,556,1715,175025,172919,,,,,,,,,,
2020-09-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,2,31,344,375,-20,3,1245,98,1159,559,1718,175699,173593,,,,,,,,,,
2020-09-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,31,2,33,341,374,-1,4,1250,98,1159,563,1722,176884,174778,,,,,,,,,,
2020-09-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,28,2,30,359,389,15,19,1254,98,1159,582,1741,178553,176447,,,,,,,,,,
2020-09-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,26,4,30,375,405,16,16,1254,98,1159,598,1757,180398,178292,,,,,,,,,,
2020-09-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,24,4,28,393,421,16,28,1266,98,1159,626,1785,182175,180069,,,,,,,,,,
2020-09-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,27,4,31,414,445,24,25,1267,98,1159,651,1810,184055,181949,Dei 25 positivi di oggi 4 sono migranti ,,,,,,,,,
2020-09-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,30,4,34,427,461,16,22,1273,98,1159,673,1832,185687,183581,,,,,,,,,,
2020-09-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,30,4,34,434,468,7,12,1278,98,1159,685,1844,186607,184501,,,,,,,,,,
2020-09-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,4,33,457,490,22,24,1280,98,1159,709,1868,188138,186032,,,,,,,,,,
2020-09-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,27,4,31,474,505,15,19,1284,98,1159,728,1887,190031,187925,,,,,,,,,,
2020-09-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,4,33,467,500,-5,9,1298,98,1159,737,1896,191873,189767,,,,,,,,,,
2020-09-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,32,3,35,473,508,8,10,1300,98,1159,747,1906,193781,191675,,,,,,,,,,
2020-09-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,30,2,32,481,513,5,15,1308,100,1159,762,1921,195545,193439,,,,,,,,,,
2020-09-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,35,2,37,507,544,31,31,1308,100,1159,793,1952,197415,195309,,,,,,,,,,
2020-09-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,36,2,38,508,546,2,5,1311,100,1159,798,1957,198390,196284,,,,,,,,,,
2020-09-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,34,2,36,508,544,-2,10,1323,100,1159,808,1967,199777,197671,,,,,,,,,,
2020-09-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,33,2,35,520,555,11,18,1330,100,1159,826,1985,201674,199568,,,,,,,,,,
2020-10-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,32,2,34,503,537,-18,17,1365,100,1159,843,2002,203646,201540,,,,,,,,,,
2020-10-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,34,1,35,503,538,1,18,1382,100,1159,861,2020,205388,203282,,,,,,,,,,
2020-10-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,36,2,38,520,558,20,24,1386,100,1159,885,2044,207290,205184,,,,,,,,,,
2020-10-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,36,2,38,537,575,17,19,1387,101,1159,904,2063,209086,206980,,,,,,,,,,
2020-10-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,37,2,39,544,583,8,23,1402,101,1159,927,2086,210446,208340,,,,,,,,,,
2020-10-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,38,1,39,546,585,2,23,1422,102,1159,950,2109,212328,210222,,,,,,,,,,
2020-10-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,37,1,38,553,591,6,16,1432,102,1159,966,2125,214329,212223,,,,,,,,,,
2020-10-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,39,1,40,563,603,12,21,1441,102,1159,987,2146,216234,214128,,,,,,,,,,
2020-10-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,42,1,43,595,638,35,42,1447,103,1159,1029,2188,218391,216285,,,,,,,,,,
2020-10-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,41,1,42,654,696,58,68,1457,103,1159,1097,2256,220936,218830,,,,,,,,,,
2020-10-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,41,1,42,688,730,34,35,1458,103,1159,1132,2291,222632,220526,,,,,,,,,,
2020-10-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,42,1,43,730,773,43,53,1467,104,1159,1185,2344,223860,221754,,,,,,,,,,
2020-10-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,42,1,43,755,798,25,44,1486,104,1159,1229,2388,226243,224137,,,,,,,,,,
2020-10-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,44,1,45,801,846,48,60,1498,104,1159,1289,2448,228678,226572,,,,,,,,,,
2020-10-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,51,3,54,805,859,13,39,1524,104,1159,1328,2487,230635,228529,,,,,,,,,,
2020-10-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,51,4,55,849,904,45,102,1581,104,1159,1430,2589,233393,231287,,,,,,,,,,
2020-10-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,58,5,63,931,994,90,94,1585,104,1159,1524,2683,236388,234284,,,,,,,,,,
2020-10-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,61,5,66,1006,1072,78,78,1585,104,1159,1602,2761,238747,236641,,,,,,,,,,
2020-10-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,66,5,71,1099,1170,98,108,1595,104,1159,1710,2869,240223,238117,,,,,,,,,,
2020-10-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,73,6,79,1173,1252,82,94,1607,104,1159,1804,2963,242700,240594,,,,,,,,,,
2020-10-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,81,6,87,1293,1380,128,136,1614,105,1159,1940,3099,245158,243043,,,,,,,,,,
2020-10-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,86,8,94,1443,1537,157,187,1644,105,1159,2127,3286,248178,246034,,,,,,,,,,
2020-10-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,100,9,109,1586,1695,158,159,1645,105,1159,2286,3445,251288,249135,,,,,,,,,,
2020-10-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,100,10,110,1739,1849,154,166,1657,105,1162,2449,3611,254634,252469,,,,,,,,,,
2020-10-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,106,10,116,1897,2013,164,179,1671,106,1162,2628,3790,257594,255683,,,,,,,,,,
2020-10-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,108,9,117,2067,2184,171,180,1678,108,1162,2808,3970,260121,258151,,,,,,,,,,
2020-10-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,117,9,126,2199,2325,141,234,1768,111,1174,3030,4204,262979,260697,,,,,,,,,,
2020-10-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,120,11,131,2373,2504,179,196,1785,111,1174,3226,4400,266246,263352,,,,,,,,,,
2020-10-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,134,7,141,2573,2714,210,225,1798,113,1174,3451,4625,268987,266077,,,,,,,,,,
2020-10-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,142,9,151,2799,2950,236,239,1799,114,1174,3689,4863,271839,268922,la regione comunica che i casi totali a ieri erano 4624 (e non 4625) ,,,,,,,,,
2020-10-31T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,154,9,163,2961,3124,174,202,1825,116,1194,3871,5065,274973,271920,,,,,,,,,,
2020-11-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,161,13,174,3188,3362,238,245,1831,117,1208,4102,5310,277844,274781,,,,,,,,,,
2020-11-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,164,19,183,3422,3605,243,254,1841,118,1208,4356,5564,280187,277221,,,,,,,,,,
2020-11-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,184,26,210,3430,3640,35,266,2069,121,1218,4612,5830,283075,280076,,,,,,,,,,
2020-11-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,212,11,223,3670,3893,253,262,2074,124,1218,4874,6092,285949,282942,,,,,,,,,,
2020-11-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,217,11,228,4016,4244,351,358,2078,128,1218,5232,6450,289361,286339,,,,,,,,,,
2020-11-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,212,15,227,4254,4481,237,264,2101,132,1243,5471,6714,292222,289214,,,,,,,,,,
2020-11-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,227,16,243,4552,4795,314,392,2175,136,1243,5863,7106,295772,292747,,,,,,,,,,
2020-11-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,233,16,249,4771,5020,225,359,2305,140,1275,6190,7465,298954,295866,,,,,,,,,,
